PM10 Delhi,12:00:00 AM,1:00:00 AM,2:00:00 AM,3:00:00 AM,4:00:00 AM,5:00:00 AM,6:00:00 AM,7:00:00 AM,8:00:00 AM,9:00:00 AM,10:00:00 AM,11:00:00 AM,12:00:00 PM,1:00:00 PM,2:00:00 PM,3:00:00 PM,4:00:00 PM,5:00:00 PM,6:00:00 PM,7:00:00 PM,8:00:00 PM,9:00:00 PM,10:00:00 PM,11:00:00 PM
3/15/2015,55.61,9.7,25.38,32.95,72.67,46.53,50.84,55.54,28.48,43.98,59.2,38.49,46.85,70.51,68.67,31.24,55.63,37.21,30.38,33.19,39.11,72.66,68.25,47.13
3/16/2015,39.9,29.12,26.97,48.81,37.74,67.07,66.35,62.48,69.05,49.18,29.82,47.58,65.64,91.02,122.6,116.67,86.88,69.25,92,87.69,121.9,112.49,105.9,133.34
3/17/2015,156.79,104.25,135.14,100.59,81.48,73.35,106,133.58,142.17,151.59,120.67,80.45,116.93,119.02,129.73,125.63,105.27,104.22,111.87,104.5,68.74,41.25,40.6,50.04
3/18/2015,83.5,96.58,76.6,57.96,66.01,52.77,75.87,84.29,85.3,111.36,120.22,116.21,105.11,119.18,119.43,114.26,85.83,102.48,121.61,109.7,103.71,87.16,82.23,116.08
3/19/2015,158,136.29,145.83,158.64,163.3,162.02,155.03,108.87,107.7,85.25,166.9,124.88,125.99,165.15,166.64,107.2,81.65,59.27,89.44,124.42,134.84,158.63,181.11,213.01
3/20/2015,231.28,246.79,194.94,191.77,218.91,236.05,240.65,234.85,172.51,106.59,95.94,113.05,173.75,196.28,187.64,125.56,126.73,74.31,98.6,137.7,127.62,164.7,166.39,169.45
3/21/2015,235.97,217.38,199.32,247.2,214.86,222.65,239.99,234.4,224.9,184.36,100.05,187.37,180.37,142.62,192.75,167.79,139.12,123.21,125.86,112.63,88.39,115.61,126.62,126.38
3/22/2015,138.62,106.21,97.54,120.01,133.73,123.54,117.83,112.59,119.44,137.61,115.63,144.67,141.84,135.98,128.09,126.86,131.83,128.98,124.85,82.19,78.66,122.85,108.7,152.6
3/23/2015,157.98,137.39,116.51,102.15,79.89,103.7,120.86,145.94,136.46,98.85,124.04,150.53,138.42,148.15,151.64,135.02,135.88,140.77,99.2,119.44,133.62,144.15,151.92,181.56
3/24/2015,169.76,241.03,246.43,305.63,295.81,251.64,225.88,167.22,134.06,108.88,103.85,135.55,180.53,197.88,196.76,166.22,103.88,83.97,84.31,172.39,115.24,137.36,180.02,300.3
3/25/2015,303.06,290.91,242.22,280.23,272.05,293.76,282.65,273.1,266.48,234.88,190.32,196.67,193.17,240,216.92,102.04,53.04,181.86,99.42,115.58,126.41,131.87,69.32,170.02
3/26/2015,278.07,222,277.7,406.78,342.9,264.66,418.87,426.71,318.04,247.82,272.51,213.35,204.22,238.76,202.07,146.25,83.89,115.27,36.78,46.93,131.61,86.02,93.28,155.04
3/27/2015,206.97,80.62,96.55,77.07,67.64,48.71,71.72,68.53,94.19,152.34,125.02,140.38,96.6,94.5,117.49,101.8,112.49,127.64,161.31,132.79,147.96,152.8,145.62,206.76
3/28/2015,292.41,163.53,251.82,299.88,184.52,254.45,275.82,306.29,225.27,111.22,122.01,181.33,286.36,148.24,108.56,77.63,156.32,127.87,185.96,169.39,222.18,185.88,305.94,468.25
3/29/2015,437.19,293.83,162.2,150.29,305.88,181.47,200.81,211.38,232.22,199.49,211.66,236.31,217.79,202.97,216.89,170.61,192.08,172.66,156.56,177.02,101.48,92.67,182.08,142.82
3/30/2015,116.9,139.92,87.56,54.55,24.65,59.59,77.86,119.23,30.59,36.25,17.67,11.77,,,,,,,13.59,36.34,58.87,26.58,,
3/31/2015,23.17,17.62,46.63,88.48,89.09,94.71,105.65,112.96,93.66,93.86,104.34,124.43,145.66,117.53,57.6,33.4,6.98,34.92,55.56,66.95,83.93,120.88,71.08,98.27
4/1/2015,225.94,186.7,144.64,172.11,162.73,280.48,366.98,211.39,193.46,187.32,101.02,298.07,209.77,200.14,110.96,108.93,71.11,81.31,96.66,79.4,87.36,143.5,156.88,145.45
4/2/2015,143.66,113.2,87.78,78.38,79.15,121.98,129.94,144.22,130.33,135.61,108.91,110.74,81.29,75.43,104.92,87.7,103.63,105.01,113.89,136.77,120.34,118.83,126.08,148.99
4/3/2015,123.66,62.75,62.3,120.67,71.98,44.14,57.45,75.86,72.27,60.91,60.31,72.41,88.36,75.96,78.99,76.1,68.86,69.99,73.73,86.15,83.16,81.65,81.63,75.94
4/4/2015,80.72,83.81,90.15,67.42,47.26,36.53,42.79,56.1,69.25,69.64,67.12,42.24,47.92,59.48,56.64,72.18,101.86,93.19,97.26,134.23,132.89,179.45,198.91,139.65
